0.7454,0.2116,0.0001,0.1577,0.5590,0.3808
0.5413,0.7465,0.4985,0.0635,0.8053,0.9364
0.5925,0.3060,0.7635,0.4375,0.2535,0.6357
0.6052,0.6231,0.2702,0.5644,0.2265,0.4490
0.5710,0.2980,0.7267,0.7239,0.1517,0.9883
0.7072,0.0498,0.3112,0.7705,0.8781,0.7893
0.8084,0.1190,0.1670,0.3881,0.0442,0.0914
0.0496,0.3239,0.8790,0.7486,0.0299,0.6512
0.1042,0.9897,0.7332,0.8647,0.5340,0.5289
0.6839,0.3434,0.9043,0.1990,0.0722,0.9768
0.0643,0.6410,0.8439,0.8081,0.8515,0.8807
0.8066,0.3260,0.2912,0.2010,0.2498,0.9211
0.7724,0.2639,0.0393,0.6185,0.2457,0.7636
0.3059,0.5214,0.3432,0.0203,0.3160,0.4481
0.2616,0.5833,0.5734,0.6059,0.6221,0.8526
0.3851,0.5005,0.9696,0.2062,0.2390,0.5356
0.7259,0.7420,0.6434,0.0546,0.9129,0.2814
0.9254,0.6032,0.0050,0.5627,0.5348,0.9316
0.8128,0.9508,0.1379,0.1018,0.3320,0.9311
0.2501,0.6121,0.5337,0.0470,0.1469,0.9024
0.8505,0.8786,0.7144,0.3543,0.3898,0.2930
0.6881,0.8235,0.8137,0.1126,0.0847,0.7807
0.2712,0.8390,0.8567,0.8465,0.2880,0.9160
0.4525,0.5169,0.8169,0.8473,0.2266,0.1125
0.8320,0.4701,0.5893,0.4036,0.5419,0.2641
0.7877,0.4496,0.3137,0.1666,0.6508,0.1476
0.9044,0.0152,0.5743,0.3990,0.9710,0.0490
0.7444,0.1921,0.8149,0.2226,0.2738,0.8497
0.5909,0.0856,0.8041,0.8563,0.2490,0.0657
0.6033,0.2700,0.9675,0.9511,0.0369,0.3421
0.7996,0.2961,0.1296,0.2059,0.2894,0.4687
0.2545,0.6976,0.6906,0.6758,0.6506,0.4791
0.6606,0.0162,0.2210,0.6910,0.2639,0.0611
0.1629,0.0560,0.3389,0.3550,0.6899,0.0702
0.4527,0.0695,0.6756,0.7139,0.8695,0.0521
